Фича / Блок,Компонент,User Stories,Приоритет,Входит в MVP,Статус,Ответственный,Deadline,Описание
Регистрация клиента по номеру телефона,Авторизация и регистрация,"
- Клиент регистрируется по номеру телефона",Высокий,True,Запланировано,,,Позволяет клиенту создать аккаунт с подтверждением через SMS-код.

Авторизация через соцсети,Авторизация и регистрация,"
- Клиент авторизуется через соцсети",Средний,True,Запланировано,,,"Позволяет клиенту входить через VK, Google, Apple ID."

Восстановление доступа,Авторизация и регистрация,"
- Клиент восстанавливает доступ к аккаунту",Высокий,True,Запланировано,,,Позволяет восстановить доступ по телефону или email.

Регистрация мастера с верификацией,Авторизация и регистрация,"
- Мастер регистрируется в системе",Высокий,True,Запланировано,,,Регистрация мастера с обязательной проверкой телефона и email.

Профиль клиента,Профиль клиента,"
- Клиент настраивает свой профиль",Средний,True,Запланировано,,,"Имя, фото, email, телефон. Изменение данных через форму."

Профиль мастера,Профиль мастера,"
- Мастер заполняет свой профиль (описание, фото, адрес)",Высокий,True,Запланировано,,,"Мастер добавляет описание, фото, геолокацию."

Просмотр профиля мастера,Профиль мастера,"
- Клиент просматривает профиль мастера",Высокий,True,Запланировано,,,"Клиент видит карточку мастера, рейтинг, услуги и отзывы."

Управление услугами мастера,Услуги,"
- Мастер добавляет и редактирует услуги",Высокий,True,Запланировано,,,"Добавление, редактирование и удаление услуг мастером."

Просмотр услуг мастера,Услуги,"
- Клиент выбирает услугу перед записью",Высокий,True,Запланировано,,,Клиент видит доступные услуги в карточке мастера.

Настройка расписания мастера,Расписание,"
- Мастер управляет своим расписанием",Высокий,True,Запланировано,,,"Дни недели, часы приёма, интервалы."

Исключения в расписании,Расписание,"
- Мастер управляет своим расписанием",Средний,True,Запланировано,,,"Исключения: отпуск, выходной, болезнь."

Просмотр доступности,Расписание,"
- Клиент видит свободные слоты",Высокий,True,Запланировано,,,Клиент видит только свободные слоты при записи.

Онлайн-запись на услугу,Запись,"
- Клиент выбирает услугу и записывается онлайн",Высокий,True,Запланировано,,,"Форма записи клиента: выбор услуги, даты, времени."

Просмотр записей клиента,Запись,"
- Клиент видит свои предстоящие и прошедшие записи",Средний,True,Запланировано,,,Личный кабинет клиента: история визитов.

Управление записями мастером,Запись,"
- Мастер видит все записи на свои услуги
- Мастер подтверждает, переносит или отменяет записи",Высокий,True,Запланировано,,,Мастер подтверждает или изменяет записи клиентов.

Отмена/перенос записи клиентом,Запись,"
- Клиент отменяет или переносит запись",Средний,True,Запланировано,,,Клиент может изменить или отменить запись.

Оставить отзыв,Отзывы,"
- Клиент оставляет отзыв о мастере и услуге",Средний,True,Запланировано,,,Клиент оставляет отзыв и рейтинг после визита.

Анонимный отзыв,Отзывы,"
- Клиент делает отзыв анонимным",Низкий,True,Запланировано,,,Отзыв без отображения имени клиента.

Просмотр отзывов мастером,Отзывы,"
- Мастер просматривает отзывы о себе",Средний,True,Запланировано,,,"Мастер видит отзывы, оставленные клиентами."

Модерация отзывов,Админка: отзывы,"
- Админ модерирует отзывы",Средний,True,Запланировано,,,Администратор может скрыть некорректные отзывы.

Напоминание клиенту о визите,Уведомления,"
- Клиент получает напоминания о записи",Средний,True,Запланировано,,,Push или SMS за 2 часа до визита.

Уведомление мастеру о записи,Уведомления,"
- Мастер получает уведомления о новых и изменённых записях",Средний,True,Запланировано,,,"Push при создании, отмене или изменении записи."

Привязка карты клиентом,Оплата,"
- Клиент привязывает карту",Высокий,True,Запланировано,,,Сохранение карты для дальнейших оплат.

Оплата услуги онлайн,Оплата,"
- Клиент оплачивает услугу картой",Высокий,True,Запланировано,,,Оплата бронирования онлайн через шлюз.

Отметка оплаты мастеру,Оплата,"
- Мастер видит, что визит оплачен",Средний,True,Запланировано,,,Информация о статусе оплаты для мастера.

Модерация профилей мастеров,Админка: мастера,"
- Админ просматривает и модерирует профили мастеров",Высокий,True,Запланировано,,,"Одобрение, отклонение, блокировка профиля."

Просмотр аналитики платформы,Аналитика,"
- Админ видит аналитику по платформе",Средний,True,Запланировано,,,"Дашборд: пользователи, записи, активность."
